,x,y,z,disp_x,disp_y,disp_z,stress_xx,stress_yy,stress_zz
40,0.015625,0.015625,0.015625,4.80869012223261e-06,8.52322277167787e-06,1.7948102627573098e-05,-0.2536336159828039,-0.22049135641909898,-0.12804165416934665
41,0.046875,0.015625,0.015625,1.3875185314607242e-05,8.522379476011267e-06,1.7946418258342695e-05,-0.25363254633102306,-0.22049108535577255,-0.12804124781319565
42,0.078125,0.015625,0.015625,2.294177155665744e-05,8.52095928436917e-06,1.794329303388119e-05,-0.2536317138274362,-0.22049046134528408,-0.12804029944034145
43,0.109375,0.015625,0.015625,3.200837412658684e-05,8.518967370856687e-06,1.793873143133896e-05,-0.25363111220679685,-0.22048948573941415,-0.12803881340826817
44,0.140625,0.015625,0.015625,4.1074919633296666e-05,8.516411438049603e-06,1.793274068674913e-05,-0.2536307341863529,-0.2204881608095803,-0.12803679553850933
45,0.171875,0.015625,0.015625,5.014133624506123e-05,8.513301546334545e-06,1.7925331307885964e-05,-0.2536305718376675,-0.22048648988373423,-0.12803425264262033
46,0.203125,0.015625,0.015625,5.92075538357487e-05,8.509649926011317e-06,1.7916517737579275e-05,-0.25363061713585233,-0.2204844774640999,-0.12803119172804794
47,0.234375,0.015625,0.015625,6.827350398964219e-05,8.505470818087202e-06,1.790631914850846e-05,-0.2536308626080633,-0.22048212915347876,-0.12802761868382329
48,0.265625,0.015625,0.015625,7.733911983072709e-05,8.500780332715355e-06,1.789476022616839e-05,-0.2536313017290105,-0.2204794514284322,-0.1280235369349295
49,0.296875,0.015625,0.015625,8.640433576940349e-05,8.495596321840896e-06,1.7881871700312532e-05,-0.2536319293188088,-0.2204764517986207,-0.1280189478679942
50,0.328125,0.015625,0.015625,9.54690872656008e-05,8.489938234207533e-06,1.786769080955455e-05,-0.2536327419147139,-0.22047313899130552,-0.12801385140703392
51,0.359375,0.015625,0.015625,0.0001045333105327332,8.483826940190928e-06,1.785226189469406e-05,-0.25363373810497414,-0.22046952277088944,-0.12800824499767105
52,0.390625,0.015625,0.015625,0.00011359694209464663,8.477284531793516e-06,1.783563691425637e-05,-0.25363491917763403,-0.2204656139119895,-0.12800212265851174
53,0.421875,0.015625,0.015625,0.00012265991820937497,8.470334102142628e-06,1.7817875762673757e-05,-0.2536362896319433,-0.2204614241947025,-0.127995474305793
54,0.453125,0.015625,0.015625,0.00013172217421316014,8.46299952025347e-06,1.7799046299359054e-05,-0.2536378573868025,-0.22045696640325188,-0.12798828557514286
55,0.484375,0.015625,0.015625,0.00014078364386613568,8.455305209381946e-06,1.7779224025557386e-05,-0.25363963361213593,-0.22045225435265212,-0.12798053829042527
